bfid,location_cookie,size,crc,pnfs_path
CDMS154725153300000,0000_000000000_0000057,3767283719,3606932109,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/52E84AF6-5E08-E911-AA71-20040FE9C7DC.root
CDMS154725157800006,0000_000000000_0000058,4291103414,3113047764,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80001/F6D34A8A-EA08-E911-92CE-008CFA1CB8A8.root
CDMS154725163400000,0000_000000000_0000059,2178907108,3991804630,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/6E125230-B408-E911-B077-801844E56C20.root
CDMS154725165600002,0000_000000000_0000060,3780427155,3334770030,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/500FA45D-E807-E911-810C-008CFA1983E0.root
CDMS154725169000002,0000_000000000_0000061,3792077099,2204119027,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/12A32E25-E107-E911-A4B8-A0369FC51BB8.root
CDMS154725171000000,0000_000000000_0000062,3207249274,269442711,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/FAE8322F-A408-E911-9091-B083FED00117.root
CDMS154725174200000,0000_000000000_0000063,3798717172,1100232998,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/90001/0E52B776-AB08-E911-898E-0CC47A4D75F6.root
CDMS154725178800001,0000_000000000_0000064,3795650602,4102666625,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280001/FCF87229-BC08-E911-920E-90B11C0BCF42.root
CDMS154725181200000,0000_000000000_0000065,3286407450,3923639233,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80001/D43AEB7C-EA08-E911-9AE7-549F35AD8B61.root
CDMS154725184300007,0000_000000000_0000066,3761574216,3122811286,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80001/EEBBB884-CF08-E911-A857-A4BADB1CF89A.root
CDMS154725193100000,0000_000000000_0000067,3820099344,1103251233,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/5A4F89E3-9B08-E911-96E1-A0369FC5DF94.root
CDMS154725197700002,0000_000000000_0000068,4262539619,1851770011,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/C02CA7FD-2008-E911-95C2-782BCB1F5E69.root
CDMS154725203800001,0000_000000000_0000069,3825236438,665376683,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80001/703107B1-F808-E911-A663-008CFA198258.root
CDMS154725206200000,0000_000000000_0000070,3769122966,3245494486,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80001/0C1D9884-D508-E911-AA28-008CFA1660F8.root
CDMS154725212100002,0000_000000000_0000071,3788812967,2318808616,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/DEFE88FF-C507-E911-9429-0242AC130002.root
CDMS154725215400002,0000_000000000_0000072,3786485113,3927474677,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/98BD8D17-6C08-E911-95F7-1866DAEA8218.root
CDMS154725219500000,0000_000000000_0000073,3843760259,423057112,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/20000/CE729AAC-A807-E911-B272-0242AC130002.root
CDMS154725223200000,0000_000000000_0000074,3761548887,1702551238,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/A84126F6-3D08-E911-B386-B083FED177B0.root
CDMS154725226000000,0000_000000000_0000075,3847277696,4081658056,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/280000/2C9DEE5D-A608-E911-AB77-801844DEF4E0.root
CDMS154725229800001,0000_000000000_0000076,3792093345,2191366928,/pnfs/fs/usr/cms/WAX/11/store/mc/RunIILowPUSpring18wmLHEGS/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/GEN-SIM/94X_mc2017_realistic_v10For2017H_v2_ext1-v1/80000/F2A2009D-0208-E911-81D1-90B11C0BCC9F.root
